X1/0.970000,X4/0.760000,
X1/0.860000,X2/0.980000,X3/0.490000,X4/0.460000,
X1/0.780000,X2/0.750000,X3/0.730000,X4/0.230000,
X1/0.750000,X2/0.560000,X3/0.740000,X4/0.590000,
X1/0.710000,X2/0.370000,X3/0.410000,X4/0.540000,
X1/0.680000,X2/0.180000,X3/0.290000,X4/0.670000,
X1/0.630000,X2/0.810000,X3/0.480000,X4/0.570000,
X1/0.590000,X2/0.500000,X3/0.910000,X4/0.070000,
X1/0.560000,X2/0.280000,X3/0.230000,X4/0.200000,
X1/0.520000,X2/0.900000,X3/0.450000,X4/0.760000,
X1/0.480000,X2/0.570000,X3/0.190000,X4/0.200000,
X1/0.450000,X2/0.220000,X3/0.590000,X4/0.840000,
X1/0.410000,X2/0.610000,X3/0.400000,X4/0.760000,
X1/0.380000,X2/0.110000,X3/0.590000,X4/0.060000,
X1/0.330000,X2/0.290000,X3/0.500000,X4/0.090000,
X1/0.290000,X2/0.230000,X3/0.370000,X4/0.770000,
X1/0.240000,X2/0.800000,X3/0.410000,X4/0.060000,
X1/0.200000,X2/0.230000,X3/0.330000,X4/0.480000,
X1/0.140000,X2/0.500000,X3/0.190000,X4/0.080000,
X1/0.070000,X2/0.170000,X3/0.660000,X4/0.540000,
