X1/0.990000,X3/0.090000,X4/0.520000,
X1/0.950000,X2/0.980000,X3/0.500000,X4/0.150000,
X1/0.930000,X2/0.950000,X3/0.840000,X4/0.960000,
X1/0.910000,X2/0.920000,X3/0.240000,X4/0.830000,
X1/0.890000,X2/0.870000,X3/0.130000,X4/0.900000,
X1/0.870000,X2/0.790000,X3/0.550000,X4/0.790000,
X1/0.850000,X2/0.690000,X3/0.330000,X4/0.120000,
X1/0.830000,X2/0.590000,X3/0.070000,X4/0.940000,
X1/0.810000,X2/0.440000,X3/0.350000,X4/0.030000,
X1/0.790000,X2/0.270000,X3/0.080000,X4/0.290000,
X1/0.770000,X2/0.040000,X3/0.530000,X4/0.800000,
X1/0.740000,X2/0.860000,X3/0.700000,X4/0.180000,
X1/0.720000,X2/0.640000,X3/0.360000,X4/0.020000,
X1/0.700000,X2/0.390000,X3/0.460000,X4/0.180000,
X1/0.680000,X2/0.090000,X3/0.130000,X4/0.520000,
X1/0.650000,X2/0.720000,X3/0.910000,X4/0.160000,
X1/0.630000,X2/0.380000,X3/0.710000,X4/0.410000,
X1/0.590000,X2/0.940000,X3/0.700000,X4/0.190000,
X1/0.560000,X2/0.510000,X3/0.390000,X4/0.030000,
X1/0.520000,X2/0.950000,X3/0.450000,X4/0.940000,
X1/0.500000,X2/0.420000,X3/0.170000,X4/0.150000,
X1/0.470000,X2/0.750000,X3/0.750000,X4/0.870000,
X1/0.450000,X2/0.130000,X3/0.210000,X4/0.600000,
X1/0.420000,X2/0.460000,X3/0.670000,X4/0.170000,
X1/0.370000,X2/0.730000,X3/0.430000,X4/0.450000,
X1/0.340000,X2/0.940000,X3/0.550000,X4/0.200000,
X1/0.320000,X2/0.080000,X3/0.270000,X4/0.050000,
X1/0.280000,X2/0.990000,X3/0.770000,X4/0.170000,
X1/0.250000,X2/0.870000,X3/0.380000,X4/0.130000,
X1/0.220000,X2/0.680000,X3/0.750000,X4/0.420000,
X1/0.190000,X2/0.340000,X3/0.660000,X4/0.380000,
X1/0.150000,X2/0.590000,X3/0.680000,X4/0.810000,
X1/0.110000,X2/0.460000,X3/0.600000,X4/0.800000,
X1/0.050000,X2/0.800000,X3/0.360000,X4/0.120000,
