X1/0.990000,X3/0.820000,X4/0.890000,
X1/0.960000,X3/0.260000,X4/0.600000,
X1/0.920000,X2/0.960000,X3/0.810000,X4/0.060000,
X1/0.890000,X2/0.900000,X3/0.650000,X4/0.180000,
X1/0.860000,X2/0.840000,X3/0.780000,X4/0.180000,
X1/0.840000,X2/0.740000,X3/0.570000,X4/0.220000,
X1/0.820000,X2/0.620000,X3/0.790000,X4/0.370000,
X1/0.800000,X2/0.410000,X3/0.120000,X4/0.210000,
X1/0.770000,X2/0.980000,X3/0.200000,X4/0.480000,
X1/0.750000,X2/0.740000,X3/0.870000,X4/0.190000,
X1/0.730000,X2/0.430000,X3/0.570000,X4/0.790000,
X1/0.700000,X2/0.800000,X3/0.410000,X4/0.690000,
X1/0.680000,X2/0.220000,X3/0.650000,X4/0.790000,
X1/0.650000,X2/0.530000,X3/0.590000,X4/0.740000,
X1/0.620000,X2/0.640000,X3/0.700000,X4/0.240000,
X1/0.590000,X2/0.660000,X3/0.820000,X4/0.850000,
X1/0.560000,X2/0.600000,X3/0.550000,X4/0.600000,
X1/0.530000,X3/0.100000,X4/0.260000,
X1/0.490000,X2/0.250000,X3/0.650000,X4/0.720000,
X1/0.420000,X2/0.890000,X3/0.630000,X4/0.690000,
X1/0.370000,X2/0.280000,X3/0.580000,X4/0.580000,
X1/0.300000,X2/0.860000,X3/0.600000,X4/0.090000,
X1/0.230000,X2/0.740000,X3/0.480000,X4/0.270000,
X1/0.130000,X2/0.980000,X3/0.970000,X4/0.080000,
