X1/0.980000,X2/0.820000,X3/0.880000,X4/0.580000,
X1/0.960000,X2/0.580000,X3/0.870000,X4/0.680000,
X1/0.940000,X2/0.120000,X3/0.780000,X4/0.030000,
X1/0.910000,X2/0.760000,X3/0.900000,X4/0.080000,
X1/0.890000,X2/0.400000,X3/0.900000,X4/0.530000,
X1/0.860000,X2/0.850000,X3/0.840000,X4/0.790000,
X1/0.840000,X2/0.480000,X3/0.550000,X4/0.430000,
X1/0.790000,X2/0.770000,X3/0.220000,X4/0.100000,
X1/0.760000,X2/0.970000,X3/0.440000,X4/0.060000,
X1/0.740000,X2/0.260000,X3/0.610000,X4/0.340000,
X1/0.710000,X2/0.390000,X3/0.770000,X4/0.130000,
X1/0.680000,X2/0.330000,X3/0.900000,X4/0.790000,
X1/0.640000,X2/1.000000,X3/0.520000,X4/0.740000,
X1/0.610000,X2/0.800000,X3/0.370000,X4/0.560000,
X1/0.570000,X2/1.000000,X3/0.200000,X4/0.480000,
X1/0.530000,X2/0.760000,X3/0.910000,X4/0.270000,
X1/0.480000,X2/0.700000,X3/0.860000,X4/0.990000,
X1/0.410000,X2/0.810000,X3/0.390000,X4/0.480000,
X1/0.350000,X2/0.610000,X3/0.850000,X4/0.720000,
X1/0.270000,X2/0.960000,X3/0.890000,X4/0.040000,
X1/0.180000,X2/0.700000,X3/0.650000,X4/0.070000,
X2/0.630000,X3/0.370000,X4/0.840000,
