X1/0.980000,X2/0.090000,X4/0.290000,
X1/0.950000,X2/0.140000,X3/0.890000,X4/0.520000,
X1/0.930000,X2/0.140000,X3/0.920000,X4/0.670000,
X1/0.900000,X3/0.260000,X4/0.670000,
X1/0.870000,X2/0.960000,X3/0.760000,X4/0.180000,
X1/0.850000,X2/0.910000,X3/0.590000,X4/0.800000,
X1/0.820000,X2/0.850000,X3/0.520000,X4/0.050000,
X1/0.790000,X2/0.770000,X3/0.450000,X4/0.570000,
X1/0.770000,X2/0.660000,X3/0.220000,X4/0.270000,
X1/0.750000,X2/0.510000,X3/0.420000,X4/0.570000,
X1/0.730000,X2/0.150000,X3/0.950000,X4/0.170000,
X1/0.700000,X2/0.890000,X3/0.780000,X4/0.880000,
X1/0.680000,X2/0.710000,X3/0.560000,X4/0.690000,
X1/0.660000,X2/0.340000,X3/0.940000,X4/0.180000,
X1/0.630000,X2/0.850000,X3/0.070000,X4/0.990000,
X1/0.610000,X2/0.450000,X3/0.880000,X4/0.590000,
X1/0.580000,X2/0.800000,X3/0.100000,X4/0.540000,
X1/0.550000,X2/1.000000,X3/0.520000,X4/0.030000,
X1/0.530000,X2/0.310000,X3/0.820000,X4/0.270000,
X1/0.490000,X2/0.140000,X3/0.680000,X4/0.270000,
X1/0.450000,X2/0.850000,X3/0.770000,X4/0.940000,
X1/0.410000,X2/0.580000,X3/0.380000,X4/0.830000,
X1/0.370000,X2/0.840000,X3/0.700000,X4/0.040000,
X1/0.330000,X2/0.800000,X3/0.120000,X4/0.300000,
X1/0.270000,X2/0.280000,X3/0.630000,X4/0.940000,
X1/0.220000,X2/0.220000,X3/0.990000,X4/0.760000,
X1/0.160000,X2/0.770000,X3/0.570000,X4/0.610000,
X1/0.090000,X2/0.510000,X3/0.820000,X4/0.090000,
