X1/0.980000,X2/0.270000,X3/0.990000,X4/0.790000,
X1/0.950000,X2/0.370000,X3/0.940000,X4/0.530000,
X1/0.920000,X2/0.390000,X3/0.110000,X4/0.520000,
X1/0.890000,X2/0.220000,X3/0.720000,X4/0.520000,
X1/0.850000,X2/0.930000,X3/0.560000,X4/0.600000,
X1/0.820000,X2/0.730000,X3/0.690000,X4/0.920000,
X1/0.790000,X2/0.280000,X3/0.590000,X4/0.980000,
X1/0.750000,X2/0.680000,X3/0.880000,X4/0.120000,
X1/0.710000,X2/0.770000,X3/0.730000,X4/0.660000,
X1/0.670000,X2/0.710000,X3/0.170000,X4/0.900000,
X1/0.620000,X2/0.940000,X3/0.620000,X4/0.620000,
X1/0.570000,X2/0.770000,X3/0.780000,X4/0.770000,
X1/0.480000,X2/0.740000,X3/0.710000,X4/0.530000,
X1/0.260000,X2/0.900000,X3/0.810000,
